Innehåll,Videotitel,Publiceringstid för video,Visningar,Visningstid (timmar),Prenumeranter,Exponeringar,Klickfrekvens för exponeringar (%)
fhwdKmp_7S8,Virtual warehouse in snowflake (coding),"Aug 17, 2024",32,1.9694,0,153,1.96
gfzlxJHfFtA,dlt to extract and load data from OLTP to a data warehouse (theory),"Aug 17, 2024",32,0.9158,1,375,1.87
HMvYN3Vdvao,dbt transformations of job ads part 2 (coding),"Aug 29, 2024",31,5.265,0,201,2.49
PnSL_CPWKxI,Developing in dbt (theory),"Aug 17, 2024",31,1.4498,0,505,0.79
rt9HUsJSbbY,Data processing repetition,"Aug 18, 2024",31,2.0907,0,246,3.25
rkLzMLhCBiI,Styling streamlit with CSS,"Sep 5, 2024",28,1.7628,0,238,2.94
Ys1zPifbuyM,Data storytelling for explanatory data analysis using matplotlib,"Aug 18, 2024",23,2.9307,1,393,1.27
fNOUYJzxNTg,python summary part 5,"Aug 18, 2024",22,2.5967,0,340,2.65
Y1_P4ZMGLGo,python summary part3 (coding),"Aug 17, 2024",21,3.1632,0,160,4.38
twlOySku1PM,python summary part2 (coding),"Aug 17, 2024",19,2.8906,0,169,2.96
0tws8vOwKKQ,dbt documentation of job ads (coding),"Sep 2, 2024",18,2.1488,0,174,0.57
4QyyCbLBAWk,python summary part6,"Aug 18, 2024",18,1.2916,0,270,2.59
wVneS4Akh9I,Faktorer och nollställen Matte 3C,"Sep 16, 2019",18,0.8087,0,83,12.05
z0G3KoDryww,dbt transformations of job ads part 3 (coding),"Aug 29, 2024",17,1.0603,0,203,0.99
2vvHu06wM4g,Chatbot using eden AI API part 1,"Sep 8, 2024",10,1.7507,0,41,4.88
nBFPUAAWP4A,Chatbot using eden AI API and streamlit frontend part 2,"Sep 8, 2024",9,0.9,0,54,3.7
IqV75ndo-b4,Kvadreringsregler och konjugatregler härledningar,"Jun 9, 2019",6,0.1118,0,10,40
qZ1Ib5H9tJY,OOP streamlit dashboard - part 1 - EDA on the dataset (coding),"Sep 8, 2024",5,0.0312,0,38,2.63
hocYlT4ixsU,Streamlit dashboard olympic games data OOP approach (coding),"Sep 8, 2024",4,0.0088,0,34,2.94
sUOoGio7qd8,Stocks API data processing,"Mar 19, 2024",2,0.0168,0,45,2.22
GOSbxHuOs8M,Tillämpningar andragradsekvationer,"Feb 14, 2020",1,0.0102,0,36,0
2xqlDLCK6CQ,PQ formeln,"Feb 14, 2020",,,,34,0
7Dqqbo06j5Q,Andragradsfunktionens graf,"Feb 14, 2020",,,,36,0
WCMH4e-LoRA,Gränsvärden matte 3C,"Sep 22, 2019",,,,38,0
jz0kthMmsCg,Derivera exponentialfunktion Ma3C,"Nov 8, 2019",,,,33,0
lfxUmiaNgXM,Enkla andragradsekvationer Ma2,"Feb 14, 2020",,,,33,0
rFlmpvuORB4,Andragradsfunktion   algebra,"Feb 14, 2020",,,,37,0
