Datum,Operativsystem,Visningar
2024-08-26,Linux,1
2024-08-27,Linux,2
2024-08-28,Linux,0
2024-08-29,Linux,0
2024-08-30,Linux,0
2024-08-31,Linux,0
2024-09-01,Linux,0
2024-09-02,Linux,0
2024-09-03,Linux,0
2024-09-04,Linux,2
2024-09-05,Linux,0
2024-09-06,Linux,1
2024-09-07,Linux,0
2024-09-08,Linux,0
2024-09-09,Linux,0
2024-08-13,Smart-TV,0
2024-08-14,Smart-TV,0
2024-08-15,Smart-TV,0
2024-08-16,Smart-TV,0
2024-08-17,Smart-TV,0
2024-08-18,Smart-TV,0
2024-08-19,Smart-TV,0
2024-08-20,Smart-TV,0
2024-08-21,Smart-TV,4
2024-08-22,Smart-TV,7
2024-08-23,Smart-TV,0
2024-08-24,Smart-TV,0
2024-08-25,Smart-TV,0
2024-08-26,Smart-TV,0
2024-08-27,Smart-TV,0
2024-08-28,Smart-TV,0
2024-08-29,Smart-TV,0
2024-08-30,Smart-TV,1
2024-08-31,Smart-TV,6
2024-09-01,Smart-TV,1
2024-09-02,Smart-TV,0
2024-09-03,Smart-TV,0
2024-09-04,Smart-TV,0
2024-09-05,Smart-TV,0
2024-09-06,Smart-TV,0
2024-09-07,Smart-TV,2
2024-09-08,Smart-TV,1
2024-09-09,Smart-TV,0
2024-08-13,Chromecast,0
2024-08-14,Chromecast,0
2024-08-15,Chromecast,0
2024-08-16,Chromecast,0
2024-08-17,Chromecast,0
2024-08-18,Chromecast,0
2024-08-19,Chromecast,0
2024-08-20,Chromecast,1
2024-08-21,Chromecast,0
2024-08-22,Chromecast,0
2024-08-23,Chromecast,0
2024-08-24,Chromecast,0
2024-08-25,Chromecast,0
2024-08-26,Chromecast,0
2024-08-27,Chromecast,0
2024-08-28,Chromecast,0
2024-08-29,Chromecast,0
2024-08-30,Chromecast,0
2024-08-31,Chromecast,0
2024-09-01,Chromecast,0
2024-09-02,Chromecast,0
2024-09-03,Chromecast,0
2024-09-04,Chromecast,0
2024-09-05,Chromecast,0
2024-09-06,Chromecast,0
2024-09-07,Chromecast,0
2024-09-08,Chromecast,0
2024-09-09,Chromecast,0
2024-08-13,Apple tvOS,0
2024-08-14,Apple tvOS,0
2024-08-15,Apple tvOS,0
2024-08-16,Apple tvOS,0
2024-08-17,Apple tvOS,0
2024-08-18,Apple tvOS,0
2024-08-19,Apple tvOS,0
2024-08-20,Apple tvOS,0
2024-08-21,Apple tvOS,0
2024-08-22,Apple tvOS,0
2024-08-23,Apple tvOS,0
2024-08-24,Apple tvOS,0
2024-08-25,Apple tvOS,0
2024-08-26,Apple tvOS,0
2024-08-27,Apple tvOS,0
2024-08-28,Apple tvOS,0
2024-08-29,Apple tvOS,0
2024-08-30,Apple tvOS,0
2024-08-31,Apple tvOS,0
2024-09-01,Apple tvOS,0
2024-09-02,Apple tvOS,0
2024-09-03,Apple tvOS,0
2024-09-04,Apple tvOS,0
2024-09-05,Apple tvOS,0
2024-09-06,Apple tvOS,0
2024-09-07,Apple tvOS,0
2024-09-08,Apple tvOS,0
2024-09-09,Apple tvOS,4
2024-08-13,Amazon Fire OS,0
2024-08-14,Amazon Fire OS,0
2024-08-15,Amazon Fire OS,0
2024-08-16,Amazon Fire OS,0
2024-08-17,Amazon Fire OS,0
2024-08-18,Amazon Fire OS,0
2024-08-19,Amazon Fire OS,0
2024-08-20,Amazon Fire OS,0
2024-08-21,Amazon Fire OS,0
2024-08-22,Amazon Fire OS,0
2024-08-23,Amazon Fire OS,0
2024-08-24,Amazon Fire OS,0
2024-08-25,Amazon Fire OS,0
2024-08-26,Amazon Fire OS,0
2024-08-27,Amazon Fire OS,0
2024-08-28,Amazon Fire OS,0
2024-08-29,Amazon Fire OS,0
2024-08-30,Amazon Fire OS,0
2024-08-31,Amazon Fire OS,0
2024-09-01,Amazon Fire OS,1
2024-09-02,Amazon Fire OS,0
2024-09-03,Amazon Fire OS,0
2024-09-04,Amazon Fire OS,0
2024-09-05,Amazon Fire OS,0
2024-09-06,Amazon Fire OS,0
2024-09-07,Amazon Fire OS,0
2024-09-08,Amazon Fire OS,0
2024-09-09,Amazon Fire OS,0
2024-08-13,Chrome OS,0
2024-08-14,Chrome OS,0
2024-08-15,Chrome OS,0
2024-08-16,Chrome OS,0
2024-08-17,Chrome OS,0
2024-08-18,Chrome OS,0
2024-08-19,Chrome OS,0
2024-08-20,Chrome OS,0
2024-08-21,Chrome OS,0
2024-08-22,Chrome OS,0
2024-08-23,Chrome OS,0
2024-08-24,Chrome OS,0
2024-08-25,Chrome OS,0
2024-08-26,Chrome OS,0
2024-08-27,Chrome OS,0
2024-08-28,Chrome OS,0
2024-08-29,Chrome OS,0
2024-08-30,Chrome OS,0
2024-08-31,Chrome OS,0
2024-09-01,Chrome OS,0
2024-09-02,Chrome OS,0
2024-09-03,Chrome OS,0
2024-09-04,Chrome OS,0
2024-09-05,Chrome OS,0
2024-09-06,Chrome OS,0
2024-09-07,Chrome OS,0
2024-09-08,Chrome OS,0
2024-09-09,Chrome OS,0
